Entity,Code,Year,Primary Energy Consumption (terawatt-hours)
Bangladesh,BGD,1997,117.6568435825957
Bangladesh,BGD,1998,125.27770154893153
Bangladesh,BGD,1999,126.7143010805749
Bangladesh,BGD,2000,135.87709770390524
Bangladesh,BGD,2001,155.2809235709591
Bangladesh,BGD,2002,160.29624226289724
Bangladesh,BGD,2003,169.91727084912523
Bangladesh,BGD,2004,175.77673589586414
Bangladesh,BGD,2005,186.82833421377728
Bangladesh,BGD,2006,198.2275683076827
Bangladesh,BGD,2007,207.11252016418462
Bangladesh,BGD,2008,219.0422604351003
Bangladesh,BGD,2009,239.98236912244283
Bangladesh,BGD,2010,251.15692439929762
Bangladesh,BGD,2011,267.71447934799454
Bangladesh,BGD,2012,291.20121866214816
Bangladesh,BGD,2013,296.9778933490554
Bangladesh,BGD,2014,314.44112358918017
Bangladesh,BGD,2015,363.5425430294553
Bangladesh,BGD,2016,369.3937845083417
Bangladesh,BGD,2017,383.4701689206792
Bangladesh,BGD,2018,416.2945268606732
Belarus,BLR,1985,408.037199970314
Belarus,BLR,1986,465.83185347326037
Belarus,BLR,1987,472.6128569267391
Belarus,BLR,1988,479.3984611674617
Belarus,BLR,1989,463.65414797226043
Belarus,BLR,1990,444.5658542409557
Belarus,BLR,1991,439.76228918824324
Belarus,BLR,1992,416.0652609698734
Belarus,BLR,1993,333.2197535706494
Belarus,BLR,1994,277.6779385154472
Belarus,BLR,1995,251.94189394778672
Belarus,BLR,1996,258.32810942947987
Belarus,BLR,1997,260.91304747130675
Belarus,BLR,1998,255.32173864690577
Belarus,BLR,1999,248.52772323826406
Belarus,BLR,2000,255.39478963963896
Belarus,BLR,2001,248.96256083083523
Belarus,BLR,2002,256.3733323678601
Belarus,BLR,2003,255.22859689791986
Belarus,BLR,2004,287.4751576782586
Belarus,BLR,2005,286.4489534487054
Belarus,BLR,2006,304.2683040116021
Belarus,BLR,2007,297.1229055507751
Belarus,BLR,2008,300.64097073427587
Belarus,BLR,2009,285.0448400422239
Belarus,BLR,2010,302.68163436114173
Belarus,BLR,2011,300.96740773656745
Belarus,BLR,2012,325.2096252576194
Belarus,BLR,2013,286.79779119215823
Belarus,BLR,2014,296.4909435919084
Belarus,BLR,2015,269.32993896509066
Belarus,BLR,2016,267.9265123425894
Belarus,BLR,2017,271.9675213862284
Belarus,BLR,2018,285.57803084463785
Belgium,BEL,1965,412.85270352362915
Belgium,BEL,1966,397.76044266779144
Belgium,BEL,1967,417.5580761736155
Belgium,BEL,1968,465.3250248278481
Belgium,BEL,1969,510.6954684281036
Belgium,BEL,1970,539.4992597651636
Belgium,BEL,1971,529.2907747855801
Belgium,BEL,1972,562.6720479414919
Belgium,BEL,1973,570.1896298480837
Belgium,BEL,1974,550.613468504472
Belgium,BEL,1975,516.5160790330075
Belgium,BEL,1976,547.4451223116387
Belgium,BEL,1977,547.9323958433348
Belgium,BEL,1978,571.9190795343764
Belgium,BEL,1979,588.7210740397693
Belgium,BEL,1980,563.2634238734606
Belgium,BEL,1981,535.3619130101306
Belgium,BEL,1982,511.520075253443
Belgium,BEL,1983,493.88332992525
Belgium,BEL,1984,515.6358553372157
Belgium,BEL,1985,537.1195667241776
Belgium,BEL,1986,553.4328851007593
Belgium,BEL,1987,569.8159390213996
Belgium,BEL,1988,581.1073808772649
Belgium,BEL,1989,585.8738004803114
Belgium,BEL,1990,620.9789157032749
Belgium,BEL,1991,642.6063545748979
Belgium,BEL,1992,640.1358469766091
Belgium,BEL,1993,630.0894207860823
Belgium,BEL,1994,665.6455692561741
Belgium,BEL,1995,671.4257695398745
Belgium,BEL,1996,713.9240413746098
Belgium,BEL,1997,719.9759591222365
Belgium,BEL,1998,734.7463985886237
Belgium,BEL,1999,728.2137117882752
Belgium,BEL,2000,744.9712180160611
Belgium,BEL,2001,739.9832471924465
Belgium,BEL,2002,737.6530115309762
Belgium,BEL,2003,766.5745833993001
Belgium,BEL,2004,770.0134937579037
Belgium,BEL,2005,764.8428494802939
Belgium,BEL,2006,768.219667426064
Belgium,BEL,2007,774.5840855548596
Belgium,BEL,2008,787.5451074240613
Belgium,BEL,2009,737.2324337478682
Belgium,BEL,2010,785.3585401867929
Belgium,BEL,2011,732.838474538727
Belgium,BEL,2012,705.9889529672669
Belgium,BEL,2013,723.7792544992056
Belgium,BEL,2014,676.460477428669
Belgium,BEL,2015,687.508589845155
Belgium,BEL,2016,742.7717944925382
Belgium,BEL,2017,745.5780920771971
Belgium,BEL,2018,723.2607195112448
Brazil,BRA,1965,261.51479764186286
Brazil,BRA,1966,285.2748217761801
Brazil,BRA,1967,295.454949604474
Brazil,BRA,1968,338.69848588124336
Brazil,BRA,1969,369.99385686789617
Brazil,BRA,1970,434.6105153410556
Brazil,BRA,1971,475.33039355124566
Brazil,BRA,1972,547.4523320155774
Brazil,BRA,1973,653.0940451986457
Brazil,BRA,1974,713.0998087602139
Brazil,BRA,1975,752.9844078516196
Brazil,BRA,1976,826.441771749295
Brazil,BRA,1977,882.444767355194
Brazil,BRA,1978,972.5682808886409
Brazil,BRA,1979,1052.1027374224632
Brazil,BRA,1980,1071.9762148056002
Brazil,BRA,1981,1044.3060812375602
Brazil,BRA,1982,1095.5049563750608
Brazil,BRA,1983,1115.959788788999
Brazil,BRA,1984,1197.3837767715781
Brazil,BRA,1985,1274.6334345506793
Brazil,BRA,1986,1360.7300459393641
Brazil,BRA,1987,1401.572742543804
Brazil,BRA,1988,1454.2765968896606
Brazil,BRA,1989,1483.1371407550616
Brazil,BRA,1990,1457.751470547842
Brazil,BRA,1991,1513.3950898854682
Brazil,BRA,1992,1584.6346030225648
Brazil,BRA,1993,1655.4390732629515
Brazil,BRA,1994,1740.3799623800544
Brazil,BRA,1995,1827.1587307527816
Brazil,BRA,1996,1929.5170284260741
Brazil,BRA,1997,2039.9119373557044
Brazil,BRA,1998,2114.0681614018154
Brazil,BRA,1999,2152.2346529146366
Brazil,BRA,2000,2187.356426241153
Brazil,BRA,2001,2152.734857246015
Brazil,BRA,2002,2207.4904111327564
Brazil,BRA,2003,2250.675324593775
Brazil,BRA,2004,2366.859625876358
Brazil,BRA,2005,2439.5132484288524
Brazil,BRA,2006,2506.1597839878405
Brazil,BRA,2007,2666.1386738128467
Brazil,BRA,2008,2790.341078318875
Brazil,BRA,2009,2774.6645906914523
Brazil,BRA,2010,3060.2523908526136
Brazil,BRA,2011,3207.830637319477
Brazil,BRA,2012,3271.8608746030745
Brazil,BRA,2013,3400.6485512068475
Brazil,BRA,2014,3481.861583259032
Brazil,BRA,2015,3441.894407421213
Brazil,BRA,2016,3366.178994170926
Brazil,BRA,2017,3417.9262139677394
Brazil,BRA,2018,3461.031515112969
Bulgaria,BGR,1965,119.2800672222225
Bulgaria,BGR,1966,127.91352333333377
Bulgaria,BGR,1967,148.6881350000005
Bulgaria,BGR,1968,166.50957833333385
Bulgaria,BGR,1969,185.46788388888947
Bulgaria,BGR,1970,208.6588330555554
Bulgaria,BGR,1971,217.30229249999957
Bulgaria,BGR,1972,223.63599611111172
Bulgaria,BGR,1973,232.24279111111102
Bulgaria,BGR,1974,239.1668380555553
Bulgaria,BGR,1975,263.98906694444474
Bulgaria,BGR,1976,279.0116638888885
Bulgaria,BGR,1977,293.75567250000006
Bulgaria,BGR,1978,304.4640208333329
Bulgaria,BGR,1979,315.90853972222163
Bulgaria,BGR,1980,333.51243083333384
Bulgaria,BGR,1981,327.97831861111143
Bulgaria,BGR,1982,335.91224499999964
Bulgaria,BGR,1983,337.8003397222224
Bulgaria,BGR,1984,335.7621872222223
Bulgaria,BGR,1985,333.44197527777783
Bulgaria,BGR,1986,340.39818833333356
Bulgaria,BGR,1987,342.9078944444442
Bulgaria,BGR,1988,350.2272772222226
Bulgaria,BGR,1989,347.40305944444447
Bulgaria,BGR,1990,320.3711162236235
Bulgaria,BGR,1991,259.82891158714517
Bulgaria,BGR,1992,244.02604693923504
Bulgaria,BGR,1993,259.16669909368426
Bulgaria,BGR,1994,249.18662922488764
Bulgaria,BGR,1995,267.26183609022
Bulgaria,BGR,1996,266.9610319021535
Bulgaria,BGR,1997,252.34085534402334
Bulgaria,BGR,1998,242.11820892538026
Bulgaria,BGR,1999,211.74649750462927
Bulgaria,BGR,2000,212.68176826670978
Bulgaria,BGR,2001,222.15051066827633
Bulgaria,BGR,2002,216.04645015149833
Bulgaria,BGR,2003,223.16354070273252
Bulgaria,BGR,2004,216.55160473504188
Bulgaria,BGR,2005,234.3406412940347
Bulgaria,BGR,2006,240.41774627834582
Bulgaria,BGR,2007,233.40858291742364
Bulgaria,BGR,2008,229.91188171325518
Bulgaria,BGR,2009,202.05253152213854
Bulgaria,BGR,2010,210.46564307858873
Bulgaria,BGR,2011,224.1610367864634
Bulgaria,BGR,2012,213.42368090166207
Bulgaria,BGR,2013,197.76656927446714
Bulgaria,BGR,2014,210.87488117817227
Bulgaria,BGR,2015,224.73845166286068
Bulgaria,BGR,2016,213.1092028447886
Bulgaria,BGR,2017,217.9627580507302
Bulgaria,BGR,2018,216.01844259993587
CIS,,1965,6900.2211236797875
CIS,,1966,7337.457098910874
CIS,,1967,7712.827002860533
